leak_coeff: 0.1,,,,,leak_coeff: 0.2,,,,,leak_coeff: 0.30000000000000004,,,,,leak_coeff: 0.4,,,,,leak_coeff: 0.5,,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet)
19,116.31233579607529,120.6448595685667,1519.485506308712,1517.4264764964137,0.0,116.18549183955628,120.51801574587007,1521.305816696906,1517.1884099351923,0.0,116.0665889290472,120.39911303600677,1523.010544258486,1516.835303632228,0.0,115.94355433832968,120.27607861199527,1524.7730325933996,1516.5405461560051,0.0,115.81934019826733,120.15186462935176,1526.5507719668094,1516.2617248803297,0.0
20,116.31233631886793,120.64486009115235,1519.4854350129624,1517.4264425861682,0.0,116.18549134472376,120.51801525061168,1521.3057550418405,1517.1883620726976,0.0,116.06658903052133,120.39911313680065,1523.01053363471,1516.8353028270026,0.0,115.9435537011265,120.27607797389719,1524.7730039507321,1516.5405238757508,0.0,115.81933997515763,120.15186440513149,1526.5507857471657,1516.2616823595558,0.0
21,116.31233497099957,120.64485874302055,1519.485532722992,1517.4265055100188,0.0,116.18549152903041,120.5180154344683,1521.3057598699531,1517.18835572014,0.0,116.06658867393438,120.3991127795237,1523.0105848060416,1516.8353186300005,0.0,115.94355369722365,120.27607796907276,1524.7730184236948,1516.5405474752267,0.0,115.8193395417335,120.15186397053792,1526.5508387530028,1516.2617414142408,0.0
22,116.3123363760243,120.64486014783503,1519.4855247709797,1517.4264769550243,0.0,116.18549300255444,120.51801690753676,1521.3057642783442,1517.1883588955093,0.0,116.06658992346544,120.39911402837564,1523.0105539517435,1516.835316044944,0.0,115.9435536809856,120.27607795190931,1524.773031630432,1516.5405777194933,0.0,115.81933988430993,120.1518643120078,1526.5508097165582,1516.2616920496512,0.0
23,116.3123369790401,120.64486075064413,1519.4854429919085,1517.4264425972922,0.0,116.1854928933768,120.51801679790312,1521.305768323043,1517.1883628484877,0.0,116.06658939641197,120.39911350063127,1523.010600011931,1516.835333386582,0.0,115.94355230610427,120.27607657610992,1524.7730994414683,1516.5405950326335,0.0,115.81934100143226,120.1518654279635,1526.5508387458976,1516.2617463516756,0.0
24,116.31233603217842,120.64485980353513,1519.4854571485314,1517.4264780514732,0.0,116.18549348377007,120.51801738786016,1521.3057184693482,1517.1883329060304,0.0,116.06658908471591,120.39911318825887,1523.0105710235746,1516.8353259548187,0.0,115.94355305141485,120.27607732051784,1524.7730727076023,1516.5405861181773,0.0,115.81933943887647,120.15186386428408,1526.5508120352588,1516.2617265447716,0.0
25,116.31233621491393,120.64485998607628,1519.485418645482,1517.4264221449046,0.0,116.1854918470394,120.51801575064918,1521.3057583093625,1517.1883786740639,0.0,116.06659004940033,120.39911415226447,1523.0105785654937,1516.8353225954145,0.0,115.94355265873517,120.2760769269222,1524.7730823062984,1516.5406000323267,0.0,115.81933883956388,120.15186326385782,1526.5507873823317,1516.261689520693,0.0
26,116.31233533454449,120.64485910541636,1519.485531966112,1517.4265317081608,0.0,116.18549240439593,120.51801630752719,1521.30579519788,1517.1884213933129,0.0,116.06658946423369,120.39911356644562,1523.0105359968925,1516.8352734913296,0.0,115.94355282650876,120.27607709381138,1524.773025175927,1516.5405597505912,0.0,115.81934018707726,120.1518646102246,1526.5507975259388,1516.2617092449968,0.0
27,116.31233478138495,120.6448585520829,1519.4854616196853,1517.4264406848308,0.0,116.18549243670958,120.51801633941474,1521.3057816117964,1517.1883737226383,0.0,116.06658856051206,120.39911266199711,1523.0105601883185,1516.8353532213835,0.0,115.94355264781096,120.27607691418471,1524.773035781194,1516.5405959958007,0.0,115.8193397684333,120.15186419046002,1526.550791049135,1516.2616841311958,0.0
28,116.31233566686271,120.644859437294,1519.4855039971403,1517.4265093980691,0.0,116.18549308315788,120.5180169854322,1521.3057535719443,1517.1883342999674,0.0,116.06658897115784,120.39911307199083,1523.010536573143,1516.8353037630147,0.0,115.94355376804853,120.2760780335052,1524.7730917573656,1516.540611623386,0.0,115.81934116746584,120.15186558834102,1526.5508003681957,1516.2617123876682,0.0
29,116.31233606771978,120.6448598379599,1519.4854690679917,1517.4264480006223,0.0,116.18549279272167,120.51801669453482,1521.305772044158,1517.188347114615,0.0,116.06658963892824,120.3991137390906,1523.0105591290696,1516.8352861682008,0.0,115.94355411648819,120.27607838105857,1524.7730400264934,1516.5405745636685,0.0,115.81933963511392,120.15186405487195,1526.5507793879906,1516.2616813890963,0.0
30,116.3123356389723,120.64485940897842,1519.485479639046,1517.4264603940144,0.0,116.18549321645646,120.51801711783311,1521.3057317179814,1517.1883175576759,0.0,116.06658986736458,120.39911396684724,1523.0105514480847,1516.8352844184888,0.0,115.9435531450777,120.27607740873745,1524.7730635008488,1516.5405791862,0.0,115.81934012272009,120.15186454133585,1526.5507884868102,1516.261693624236,0.0
31,116.31233492305206,120.64485869284725,1519.4854476524893,1517.4264331495963,0.0,116.18549266787751,120.51801656879049,1521.305749722954,1517.1883347260548,0.0,116.06658939520025,120.3991134939977,1523.0105581951693,1516.835292146241,0.0,115.94355357303327,120.27607783577737,1524.7730855157213,1516.5405925210862,0.0,115.8193394890112,120.15186390649399,1526.5507831006817,1516.2616899048064,0.0
32,116.31233582818875,120.64485959772561,1519.4854988599711,1517.4264874130995,0.0,116.18549298951429,120.51801688997864,1521.305766632433,1517.1883257982436,0.0,116.06658969691766,120.39911379503413,1523.0105645331835,1516.8352925377108,0.0,115.94355315118457,120.27607741303582,1524.7730386755122,1516.5405667814616,0.0,115.81933991481785,120.1518643311589,1526.5508050193932,1516.2617011190516,0.0
33,116.31233638399776,120.64486015334128,1519.4854419012524,1517.426429883429,0.0,116.18549245536218,120.51801635534841,1521.3057825513174,1517.1883679663144,0.0,116.06658966724102,120.39911376466833,1523.0105573779342,1516.8353071809997,0.0,115.94355402680145,120.27607828773873,1524.77306011826,1516.540577208157,0.0,115.81934013120397,120.15186454640777,1526.5507994653087,1516.2617048274262,0.0
34,116.3123350166422,120.64485878573542,1519.4854903511214,1517.4264702701491,0.0,116.18549287158626,120.51801677114078,1521.3057465298261,1517.1883301140012,0.0,116.06658992171153,120.39911401845836,1523.010576119966,1516.8353066384063,0.0,115.94355302354552,120.27607728357142,1524.7730676109836,1516.5405832098384,0.0,115.81934008756966,120.15186450164603,1526.5507815097883,1516.2616915484157,0.0
35,116.31233574305693,120.64485951194632,1519.4854616185353,1517.4264307152,0.0,116.18549308067588,120.51801697976823,1521.3057621226617,1517.1883446512393,0.0,116.06658895624254,120.39911305230706,1523.0105690391927,1516.8353094218357,0.0,115.94355317825972,120.27607743737795,1524.7730623068035,1516.540582894791,0.0,115.81934038814599,120.1518648010907,1526.550801648617,1516.2616853518298,0.0
36,116.31233625983813,120.64486002849392,1519.4854585973465,1517.4264425206306,0.0,116.18549244840374,120.51801634704628,1521.3057648059494,1517.188337855991,0.0,116.06658976432982,120.39911385971968,1523.0105502882764,1516.835299060518,0.0,115.94355345969643,120.27607771791654,1524.773069332658,1516.5405659274197,0.0,115.81934068718077,120.15186509898454,1526.5508086652026,1516.2616952909607,0.0
37,116.31233576858418,120.64485953701156,1519.4854557390438,1517.4264453725045,0.0,116.18549249132101,120.51801638950072,1521.3057673416977,1517.1883536742953,0.0,116.06658944204862,120.39911353676149,1523.010555997904,1516.8352925364475,0.0,115.94355310952082,120.27607736683179,1524.773052533242,1516.5405682556038,0.0,115.81934012555355,120.15186453621719,1526.5507918836079,1516.261704039559,0.0
38,116.31233574672773,120.64485951492462,1519.4854644822078,1517.426451723614,0.0,116.18549242510306,120.51801632284065,1521.3057468613424,1517.1883337327263,0.0,116.06658942645251,120.39911352047139,1523.0105728507458,1516.8353153891771,0.0,115.9435532290876,120.27607748548871,1524.7730480211817,1516.5405716923106,0.0,115.81933990357611,120.15186431310823,1526.5508102112642,1516.2616975890157,0.0
39,116.31233508550253,120.64485885345769,1519.4854727904285,1517.4264775466925,0.0,116.18549268041451,120.51801657770004,1521.3057497211873,1517.1883308541571,0.0,116.0665896838128,120.39911377717006,1523.0105554084712,1516.8352823850546,0.0,115.94355385249104,120.2760781079926,1524.7730548785541,1516.5405571927186,0.0,115.81934024496023,120.1518646533642,1526.55079422997,1516.2616855773672,0.0
40,116.31233638302919,120.64486015076949,1519.4854697914407,1517.4264569153117,0.0,116.18549225575894,120.51801615258694,1521.3057633334486,1517.1883373747685,0.0,116.0665904072328,120.3991144999042,1523.010560576477,1516.8352912364328,0.0,115.94355299575713,120.27607725034866,1524.7730505319603,1516.5405609715008,0.0,115.81933967620444,120.1518640834719,1526.550800742891,1516.2616878329857,0.0
41,116.31233616389846,120.64485993141683,1519.4854562976197,1517.426448581748,0.0,116.18549204444398,120.51801594080557,1521.3057869269796,1517.1883591894982,0.0,116.06658928271882,120.39911337468438,1523.0105867379002,1516.8353346087326,0.0,115.94355363894284,120.27607789261833,1524.7730570004421,1516.540575091916,0.0,115.81933982461334,120.15186423074447,1526.5507963486095,1516.2616899197092,0.0
42,116.31233560528923,120.64485937257066,1519.4854850028976,1517.4264659590046,0.0,116.18549306120414,120.51801695713411,1521.3057367413355,1517.1883212832186,0.0,116.0665898450814,120.3991139363875,1523.0105701895718,1516.8352978277906,0.0,115.94355321098914,120.27607746374714,1524.7730735324465,1516.5405916141904,0.0,115.81933942263139,120.15186382761668,1526.5508025125725,1516.261708422066,0.0
43,116.31233603050288,120.64485979755781,1519.4854616170053,1517.4264656563741,0.0,116.18549296766065,120.51801686313152,1521.305739574526,1517.1883306230816,0.0,116.06659011988596,120.39911421049838,1523.0105746715674,1516.835320281176,0.0,115.94355353141874,120.27607778328917,1524.7730589296063,1516.5405565012516,0.0,115.81934025586675,120.15186465973403,1526.5507679222378,1516.2616789593235,0.0
44,116.31233565733686,120.6448594241706,1519.485459136282,1517.426455949076,0.0,116.18549310777124,120.5180170027823,1521.3057521991489,1517.1883410773492,0.0,116.0665896291488,120.39911371907955,1523.0105888645728,1516.8353217900044,0.0,115.94355295077978,120.27607720173052,1524.7730647804703,1516.5405769595332,0.0,115.81933951339884,120.15186391611417,1526.5508140132126,1516.2617077309299,0.0
45,116.31233600890545,120.6448597755026,1519.4854761896672,1517.4264728254946,0.0,116.18549305798192,120.51801695252846,1521.3057739860785,1517.188359666193,0.0,116.06658919112043,120.3991132803674,1523.0105830468542,1516.8353271487128,0.0,115.94355279981755,120.27607704984835,1524.7730703791262,1516.5405978532754,0.0,115.81934016784439,120.15186456942656,1526.5508000339507,1516.2617043483503,0.0
46,116.31233579135086,120.64485955774603,1519.4854449780842,1517.4264300298648,0.0,116.18549251121098,120.51801640530476,1521.3057758460957,1517.1883579870046,0.0,116.06658958904104,120.39911367762033,1523.0105679845215,1516.8353046221325,0.0,115.94355289817689,120.2760771473078,1524.7730662583554,1516.5405840236194,0.0,115.81933991601187,120.15186431647027,1526.5507961231817,1516.2616846246256,0.0
47,116.31233583635954,120.64485960251577,1519.4854709299484,1517.4264509264494,0.0,116.18549285321397,120.51801674687489,1521.3057404184922,1517.1883220959246,0.0,116.06658989681857,120.39911398471516,1523.0105535498396,1516.8353081815947,0.0,115.9435533074749,120.2760775557075,1524.7730437373307,1516.540567617197,0.0,115.81933978819386,120.1518641875093,1526.5507923755742,1516.2616981786673,0.0
48,116.3123359126755,120.6448596786129,1519.485468459598,1517.4264371058916,0.0,116.1854924805605,120.51801637375868,1521.305761111023,1517.1883376068652,0.0,116.06658940904418,120.3991134962596,1523.0105670151825,1516.8353088347862,0.0,115.9435531920275,120.27607743933207,1524.7730676087558,1516.5406023837554,0.0,115.81934034798331,120.15186474617508,1526.5507796916315,1516.261678357447,0.0
49,116.31233608279577,120.64485984849475,1519.4854660879564,1517.4264573287278,0.0,116.18549282790126,120.51801672063786,1521.305772043362,1517.1883511551628,0.0,116.06658944450248,120.3991135310325,1523.0105710236262,1516.8353169351833,0.0,115.94355325209975,120.2760774985029,1524.7730637926418,1516.5405912011174,0.0,115.819339737817,120.15186413486269,1526.5508031324227,1516.2616971394668,0.0
50,116.31233594029783,120.64485970577154,1519.485463809629,1517.4264547123653,0.0,116.18549272633885,120.51801661862079,1521.3057825481262,1517.188352726902,0.0,116.0665898496936,120.39911393555367,1523.010557376631,1516.8352983276525,0.0,115.94355313820324,120.276077383707,1524.7730601206392,1516.5405765008086,0.0,115.81934015291091,120.15186454882138,1526.5507994659224,1516.2616972634894,0.0
51,116.31233563303,120.64485939827091,1519.485487401196,1517.4264649286774,0.0,116.1854926333334,120.51801652516957,1521.3057668943554,1517.1883390648125,0.0,116.06658989507997,120.39911398025329,1523.010569992304,1516.8353086546226,0.0,115.94355354643609,120.27607779104139,1524.7730480231737,1516.5405602538797,0.0,115.81933966748113,120.15186406226536,1526.5507873794568,1516.2616818847569,0.0
52,116.31233576724675,120.64485953225841,1519.4854848066077,1517.4264692488646,0.0,116.18549238353933,120.51801627491861,1521.3057686757513,1517.1883445758522,0.0,116.06658955918661,120.39911364367231,1523.0105905436383,1516.8353204393609,0.0,115.94355349308195,120.2760777367734,1524.7730447887775,1516.5405706394042,0.0,115.81933965881217,120.15186405245252,1526.550809350094,1516.261696826106,0.0
53,116.31233533939029,120.6448591041786,1519.4854740341993,1517.4264633808662,0.0,116.18549310697203,120.51801699790585,1521.305753854995,1517.1883303901543,0.0,116.06659001612746,120.39911409994953,1523.0105525161784,1516.8352911189963,0.0,115.94355361240444,120.27607785518173,1524.773066432174,1516.540581368598,0.0,115.81934053248175,120.15186492499693,1526.5507892799458,1516.2616796370703,0.0
54,116.31233556975464,120.64485933432269,1519.4854799003335,1517.4264519407636,0.0,116.18549321030348,120.51801710078647,1521.3057476900847,1517.1883254503748,0.0,116.06659031081624,120.39911439395327,1523.0105483122923,1516.8352986208733,0.0,115.94355332225193,120.27607756411948,1524.7730710812461,1516.540584564528,0.0,115.81933968049626,120.15186407185766,1526.5508023233062,1516.261711894516,0.0
