distance_between_leaks: 1000 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
571.0,117.30681746786911,114.90281092691795,1257.9255945907967,1250.0635829341325
572.0,117.30682521330347,114.90280781693552,1257.925179815945,1250.0631812289298
573.0,117.30683295381394,114.90280470150476,1257.9247650981795,1250.0627795820278
574.0,117.30684069008056,114.90280158138313,1257.924350430621,1250.0623779856057
575.0,117.30684844205115,114.90279847881015,1257.923935584869,1250.0619762098959
576.0,117.30685617490452,114.90279535498773,1257.9235209584044,1250.0615746536632
577.0,117.30686392605733,114.9027922515669,1257.9231061262801,1250.0611728923102
578.0,117.30687166965033,114.9027891397827,1257.922691380649,1250.0607712172098
579.0,117.30687941861736,114.9027860340339,1257.9222765749391,1250.060369481468
580.0,117.30688713924644,114.90278289677428,1257.9218620920642,1250.0599680696046
581.0,117.30689488763228,114.9027797904515,1257.921447296339,1250.0595663445051
582.0,117.3069026379088,114.90277668628175,1257.9210324806688,1250.0591645987438
583.0,117.30691036674355,114.90277355828913,1257.9206179082034,1250.0587630974987
584.0,117.30691811641273,114.90277045352751,1257.9202031023221,1250.058361361545
585.0,117.30692583035642,114.90276730904016,1257.9197887016728,1250.057960032471
586.0,117.30693359526016,114.90276422131879,1257.9193737251894,1250.0575581268208
587.0,117.30694133841519,114.90276110944544,1257.918958996943,1250.0571564678244
588.0,117.30694907299853,114.90275798806051,1257.9185443662675,1250.0567549088034
589.0,117.30695681181085,114.90275487143263,1257.9181296892673,1250.0563533024983
590.0,117.3069645855601,114.90275179372651,1257.9177146195946,1250.055951302219
591.0,117.30697230236039,114.90274865268724,1257.917300194114,1250.055549947886
592.0,117.30698002855829,114.90274552214755,1257.9168856646015,1250.0551484887153
593.0,117.30698778345307,114.90274242359024,1257.9164708119201,1250.054746705713
594.0,117.30699552350207,114.90273930855372,1257.9160561275012,1250.0543450922323
595.0,117.30700326493987,114.90273619510344,1257.915641428941,1250.0539434646214
596.0,117.30701101225553,114.9027330882416,1257.9152266658361,1250.0535417714057
597.0,117.30701874735814,114.90272996783426,1257.914812041451,1250.0531402175004
598.0,117.30702647175728,114.90272683554612,1257.9143975406726,1250.0527387873599
599.0,117.30703422141173,114.90272373140942,1257.9139827551144,1250.0523370724477
600.0,117.30704196170703,114.90272061690979,1257.9135680759946,1250.051935463885
601.0,117.30704969204585,114.90271749136403,1257.9131535119725,1250.051533970269
602.0,117.30705745404308,114.90271440109078,1257.912738591072,1250.0511321198899
603.0,117.30706520109518,114.90271129424563,1257.9123238398977,1250.0507304383102
604.0,117.30707292336267,114.90270815984584,1257.9119093703791,1250.0503290402435
605.0,117.30708068581579,114.90270507022129,1257.911494448027,1250.049927187545
606.0,117.30708841745312,114.90270194633699,1257.911079875288,1250.0495256859172
607.0,117.30709616696235,114.90269884238536,1257.910665102736,1250.0491239833007
608.0,117.30710388469453,114.90269570312036,1257.910250689774,1250.0487226410103
609.0,117.30711163265161,114.90269259752556,1257.9098359374377,1250.048320958859
610.0,117.30711936842509,114.90268947842357,1257.909421322531,1250.0479194151703
611.0,117.30712710104207,114.90268635584067,1257.9090067470781,1250.0475179096475
612.0,117.30713488084862,114.90268328583497,1257.908591637233,1250.0471158695166
613.0,117.30714258814373,114.90268013515936,1257.90817735031,1250.0467146532496
614.0,117.30715035862725,114.90267705485967,1257.9077623481526,1250.0463127218554
615.0,117.3071580732158,114.90267391238628,1257.9073479816038,1250.0459114257994
616.0,117.30716581010726,114.90267079479086,1257.906933362705,1250.0455098771704
617.0,117.3071735496678,114.90266768019706,1257.9065187158283,1250.0451083008898
618.0,117.30718131513547,114.90266459448985,1257.9061037767797,1250.0447064314683
619.0,117.30718903501804,114.90266145808224,1257.905689355564,1250.0443050807191
620.0,117.30719678028122,114.90265834997032,1257.9052746476066,1250.0439034433223
621.0,117.30720452502342,114.90265524131446,1257.9048599477424,1250.0435018139074
622.0,117.30721225412205,114.90265211530118,1257.9044454253735,1250.0431003620379
623.0,117.30721999752018,114.9026490052444,1257.904030742883,1250.0426987496508
624.0,117.30722774173948,114.90264589613993,1257.9036160523765,1250.0422971298149
625.0,117.30723547356587,114.90264277328409,1257.9032015040013,1250.0418956518881
626.0,117.30724323380355,114.90263968209577,1257.9027866355004,1250.0414938530714
627.0,117.30725097995824,114.90263657528422,1257.902371927066,1250.0410922143913
628.0,117.30725869375232,114.90263343249005,1257.9019575864945,1250.0406909446406
629.0,117.30726644929908,114.90263033621011,1257.9015427748432,1250.0402892030584
630.0,117.30727417218074,114.90262720361507,1257.9011283339678,1250.0398878331825
631.0,117.30728192805388,114.90262410778463,1257.9007135213008,1250.039486090609
632.0,117.30728965726597,114.90262098232631,1257.90029901165,1250.039084651226
633.0,117.30729739937426,114.90261787125885,1257.8998843577988,1250.0386830676366
634.0,117.30811398779133,114.90351499467562,1257.890319038253,1250.0291164539403
635.0,117.3081217425031,114.90351189777421,1257.8899042432784,1250.028714729023
636.0,117.30812948950296,114.90350879233678,1257.8894895378398,1250.0283130923904
637.0,117.30813724126469,114.9035056922361,1257.8890747789815,1250.027911403816
638.0,117.30814496342005,114.90350255923497,1257.8886603565447,1250.0275100512538
639.0,117.30815269955053,114.90349944182098,1257.8882457772663,1250.0271085427398
640.0,117.30816043128283,114.9034963195645,1257.8878312494205,1250.0267070844254
641.0,117.30816818672608,114.90349322373248,1257.8874164546562,1250.0263053596746
642.0,117.30817591892429,114.90349010207653,1257.8870019242547,1250.0259038992224
643.0,117.30818364690776,114.9034869757757,1257.8865874424282,1250.0255024875844
644.0,117.30819140090054,114.90348387846095,1257.886172668126,1250.0251007831187
645.0,117.30819911258185,114.90348073410276,1257.8857583737356,1250.0246995588445
