distance_between_leaks: 100 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
124,117.30405716643173,114.90594280137006,1258.1298686150863,1250.270117541806
125,117.30406492345222,114.90593969592771,1258.1294533918747,1250.2697154081952
126,117.30407265581249,114.90593656311215,1258.1290384481188,1250.2693135523782
127,117.30408041720577,114.90593346263846,1258.1286231782028,1250.2689113703152
128,117.30408815822382,114.90593033953745,1258.128208139658,1250.268509419864
129,117.30409591729762,114.90592723656887,1258.1277928982347,1250.2681072667933
130,117.30410367490548,114.90592413201917,1258.1273776745634,1250.267705130934
131,117.30411139961284,114.90592099088734,1258.1269628247696,1250.2673033701342
132,117.30411915856945,114.9059178879257,1258.1265475891926,1250.2669012216163
133,117.3041269043347,114.90591477031774,1258.1261325039595,1250.266499224826
134,117.30413464951629,114.90591165211204,1258.1257174265138,1250.2660972350764
135,117.30414241104825,114.90590855213756,1258.1253021656216,1250.2656950623436
136,117.30415014737231,114.90590542416592,1258.124887191218,1250.2652931750988
137,117.3041579037187,114.90590231850204,1258.1244719916408,1250.2648910643272
138,117.30416564900844,114.90589920058369,1258.1240569181673,1250.264489079373
139,117.30417338092423,114.90589606782333,1258.1236419977597,1250.2640872473826
140,117.30418112655316,114.90589295037498,1258.1232269235766,1250.2636852606765
141,117.30418886872224,114.90588982910927,1258.122811889529,1250.2632833155503
142,117.30419663485078,114.9058867345592,1258.12239658636,1250.2628810995666
143,117.30420438171714,114.90588361860732,1258.1219815018833,1250.2624791039648
144,117.3042121353377,114.90588051021733,1258.1215663426306,1250.2620770330057
145,117.30421986393178,114.90587737403195,1258.1211514678616,1250.2616752454735
146,117.30422762303365,114.90587427182744,1258.1207362496539,1250.2612731152617
147,117.3042353658202,114.90587115150862,1258.1203212169369,1250.2608711712091
148,117.30424310949931,114.90586803224573,1258.1199061757293,1250.2604692163789
149,117.30425083617965,114.90586489408845,1258.1194913279815,1250.2600674574924
150,117.30425860690573,114.9058618049934,1258.1190759830704,1250.2596652010272
151,117.3042663564629,114.90585869238652,1258.118660879687,1250.2592631852779
152,117.3042740977572,114.90585557063282,1258.118245870917,1250.25886126385
153,117.30428185237348,114.90585246372774,1258.1178307123562,1250.2584591950654
154,117.30428958161689,114.90584932865855,1258.1174158426663,1250.2580574118635
155,117.30429733373451,114.90584621907064,1258.117000715159,1250.2576553728868
156,117.30430507327598,114.90584309553091,1258.1165857315737,1250.2572534775882
157,117.30431283516793,114.90583999690755,1258.11617049635,1250.2568513305876
158,117.30432056635338,114.90583686415494,1258.1157556102955,1250.2564495326117
159,117.30432831763896,114.9058337538161,1258.1153404980498,1250.25604750821
160,117.30433605826607,114.90583063166724,1258.1149255069265,1250.255645605041
161,117.30434381243496,114.90582752461648,1258.1145103648419,1250.2552435514378
162,117.30435157134355,114.90582442288957,1258.1140951701245,1250.2548414449323
163,117.30435930952257,114.90582129815034,1258.1136802119677,1250.254439573026
164,117.30436703848332,114.90581816317983,1258.113265358637,1250.2540378085223
165,117.30437479444366,114.9058150583056,1258.1128502018144,1250.2536357390177
166,117.30438255413928,114.90581195762452,1258.112435003269,1250.2532336293168
167,117.30439030064382,114.90580884231835,1258.1120199562693,1250.2528316690652
168,117.3043980330662,114.9058057113773,1258.111605068875,1250.2524298703513
169,117.3044057883342,114.9058026059019,1258.1111899256812,1250.252027814449
170,117.30441352611047,114.90579948099796,1258.1107749806645,1250.2516259585718
171,117.30442128904969,114.9057963841529,1258.1103597530018,1250.2512238178083
172,117.30442903476035,114.90579326816969,1258.1099447208478,1250.250821874354
173,117.30443676474839,114.90579013473939,1258.1095298688938,1250.2504201095228
174,117.30444451960224,114.90578702900856,1258.1091147361417,1250.2500180662046
175,117.30445226304661,114.90578391064494,1258.1086997347468,1250.2496161511774
176,117.30445998725921,114.90578077090255,1258.1082849512084,1250.2492144573378
177,117.30446774397333,114.90577766739128,1258.1078698020171,1250.248812394935
178,117.30447549233006,114.90577455461157,1258.1074547485148,1250.248410429681
179,117.30448324051478,114.90577144168769,1258.1070396985383,1250.248008467292
180,117.30449099352565,114.90576833417704,1258.1066245949476,1250.2476064517175
181,117.3044987293708,114.90576520760726,1258.1062096872263,1250.2472046317337
182,117.30450648756039,114.90576210594855,1258.1057945281727,1250.2468025599828
183,117.30451422324437,114.90575897928223,1258.1053796248289,1250.2464007449125
184,117.30452197283743,114.90575586814117,1258.1049645652863,1250.245998773406
185,117.30452970324728,114.90575273569269,1258.1045497246935,1250.2455970206797
186,117.30453747412992,114.9057496483387,1258.1041344273897,1250.2451948099547
187,117.30454520789283,114.90574651969983,1258.103719551378,1250.2447930228554
188,117.30455296015214,114.9057434117044,1258.1033044673754,1250.2443910259606
189,117.30456070611763,114.9057402967442,1258.1028894557373,1250.2439891021002
190,117.30456844127491,114.90573716979165,1258.1024745681948,1250.2435873027339
191,117.30457619586063,114.90573406450753,1258.1020594621,1250.2431852843265
192,117.3045839441252,114.90573095223675,1258.1016444284103,1250.2427833383508
