distance_between_leaks: 1 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
58,117.30401520065843,114.90742431867399,1258.1729775605338,1250.312521083537
59,117.30402297422413,114.90742122764487,1258.1725620149123,1250.312118634147
60,117.30403070835843,114.90741809337385,1258.1721469332508,1250.3117165718484
61,117.30403846423197,114.9074149826696,1258.171731588897,1250.3113143328842
62,117.30404622126441,114.90741187338843,1258.1713162345625,1250.3109120729805
63,117.30405394666822,114.90740872936938,1258.1709012519589,1250.310510130027
64,117.3040617032024,114.90740561969201,1258.1704859086983,1250.3101078711366
65,117.3040694627924,114.90740251313593,1258.1700705216456,1250.3097056119018
66,117.30407721631074,114.90739940043929,1258.1696552225428,1250.3093033643092
67,117.30408497003441,114.90739628736733,1258.1692399032936,1250.30890118176
68,117.30409270730178,114.90739315617425,1258.1688247773184,1250.3084991716632
69,117.30410047446671,114.90739005899353,1258.1684093331264,1250.3080967532292
70,117.30410821355686,114.90738693002334,1258.1679941906843,1250.3076947142054
71,117.30411596472163,114.90738381458203,1258.1675789145247,1250.307292534887
72,117.30412373208588,114.90738071714216,1258.1671634546676,1250.3068901805955
73,117.30325362126446,114.90640059806003,1258.1766794199725,1250.316434720993
74,117.30326137058745,114.90639748068827,1258.176264170776,1250.3160325631584
75,117.30326910672457,114.9063943484454,1258.1758490651932,1250.3156305805494
76,117.303276869877,114.90639124705996,1258.1754336779252,1250.3152282166914
77,117.3032846143327,114.90638812404042,1258.1750184773819,1250.314826154946
78,117.3032923668787,114.90638501058861,1258.1746032024814,1250.314423949622
79,117.30330009918211,114.90638187487598,1258.1741881632765,1250.3140219520262
80,117.30330786412861,114.90637877397303,1258.1737727123561,1250.313619745887
81,117.30331560631231,114.90637564987844,1258.173357579554,1250.3132175842388
82,117.30332336979961,114.90637254784349,1258.1729421597895,1250.3128153558769
83,117.3033311089269,114.90636941973855,1258.1725270448756,1250.312413302707
84,117.30333886209968,114.90636630709132,1258.1721117653665,1250.3120111140165
85,117.3033466137188,114.90636319350045,1258.1716965262074,1250.311608868217
86,117.30335434375728,114.90636005467515,1258.1712814975608,1250.3112069973574
87,117.30336210400303,114.90635695055657,1258.1708661589976,1250.3108046784923
88,117.30336986719136,114.90635384877527,1258.170450759827,1250.3104024282045
89,117.30337760207826,114.90635071585501,1258.1700356905606,1250.310000467632
90,117.30338536166225,114.90634761081837,1258.1696203532822,1250.3095981922297
91,117.30339311120518,114.9063444945903,1258.1692051297246,1250.3091960380725
92,117.30340085132093,114.90634136787081,1258.1687900128652,1250.3087939964594
93,117.30340858680565,114.90633823556483,1258.16837493606,1250.3083920575004
94,117.30341635397838,114.90633513908868,1258.1679595166017,1250.3079897074933
95,117.3034241088474,114.90633202870083,1258.1675442316173,1250.3075875250981
96,117.30343186133393,114.90632891600418,1258.1671289816775,1250.3071853403121
97,117.30343960146106,114.90632578871042,1258.1667138494056,1250.3067833878354
98,117.30344736152584,114.9063226844723,1258.1662985150242,1250.3063811262573
99,117.30345510576194,114.90631956248798,1258.1658833576007,1250.3059790631473
100,117.30346285178022,114.90631644255171,1258.1654681809218,1250.305576979013
101,117.30347059984204,114.90631332554052,1258.16505300031,1250.3051748105904
102,117.30347833478716,114.90631019318953,1258.1646379461686,1250.3047728728789
103,117.3034860857114,114.90630707854542,1258.1642227098446,1250.304370767837
104,117.30349384586859,114.90630397466548,1258.1638073828185,1250.3039685137087
105,117.30350160192563,114.90630086683561,1258.1633921199702,1250.303566248688
106,117.30350933136731,114.90629772867666,1258.162977137831,1250.3031643639135
107,117.30351707795718,114.90629460924768,1258.162561952713,1250.3027623271942
108,117.30352482439669,114.90629149006874,1258.1621467809557,1250.3023602550024
109,117.30353258736473,114.90628838915323,1258.161731418307,1250.3019580149275
110,117.30354034315216,114.90628528031979,1258.1613161393188,1250.3015558544498
111,117.30354808916258,114.90628216134381,1258.1609009915774,1250.3011537343984
112,117.30355584109627,114.9062790481488,1258.1604857545162,1250.3007516367115
113,117.30356356854595,114.90627590858966,1258.160070819619,1250.3003497309364
114,117.30357134551684,114.90627282370687,1258.159655311791,1250.2999473150294
115,117.30357909516937,114.90626970833716,1258.159240111398,1250.299545223065
116,117.30358681816261,114.90626656422896,1258.1588252380634,1250.2991433428026
117,117.30359457549723,114.90626345692141,1258.1584099373001,1250.2987412257733
118,117.30360233228953,114.90626034955392,1258.1579946581048,1250.2983390645702
119,117.30361007077653,114.90625722171502,1258.1575795827205,1250.2979371268405
120,117.30361781103572,114.9062540969037,1258.1571645175231,1250.2975350657837
121,117.30362557605255,114.90625099937051,1258.156749164172,1250.2971327585017
122,117.30363332714055,114.90624788536222,1258.1563339420604,1250.2967307154552
123,117.30364105659632,114.90624474829526,1258.1559189922423,1250.2963288182425
124,117.30364882998113,114.90624165988415,1258.1555035400415,1250.295926453339
125,117.30365657092845,114.90623853509483,1258.1550884466026,1250.2955244904924
126,117.30447322816904,114.9071356851703,1258.1455220828889,1250.2859569037598
127,117.3044810041093,114.90713259928083,1258.145106590332,1250.2855545649882
128,117.3044887351852,114.90712946456459,1258.1446916365146,1250.2851526260395
129,117.30449647360363,114.90712633720254,1258.1442765772288,1250.2847506943615
130,117.3045042284104,114.90712322898186,1258.1438613580176,1250.2843484893776
131,117.30451197436109,114.90712011015222,1258.1434462180998,1250.283946468553
132,117.30451972835822,114.9071170002557,1258.1430309866653,1250.2835443646618
133,117.30452746179851,114.90711386761741,1258.1426159917837,1250.2831424853862
134,117.30453522977375,114.90711077385428,1258.142200618474,1250.2827401750367
135,117.30454295712151,114.90710763500597,1258.1417857087872,1250.2823383172802
136,117.30455071357609,114.90710452849207,1258.1413704683375,1250.2819361417426
137,117.30455845933926,114.90710140924948,1258.140955325846,1250.281534179297
138,117.30456619942417,114.90709828453849,1258.140540271353,1250.2811321987049
139,117.30457395157234,114.90709517291947,1258.140125071203,1250.2807301219138
140,117.30458170079902,114.90709205838364,1258.139709914248,1250.2803280492988
141,117.30458944893388,114.90708894332425,1258.1392947880568,1250.279925923095
142,117.30459720244306,114.90708583291197,1258.1388795641888,1250.2795238804379
143,117.30460494635986,114.90708271287964,1258.138464478838,1250.2791218425975
144,117.30461271223943,114.90707961637074,1258.1380491193593,1250.2787196573822
145,117.30462043528858,114.90707647324307,1258.1376342738547,1250.2783178542547
146,117.30462819859923,114.90707337583555,1258.1372189985832,1250.277915505946
147,117.30463594681716,114.90707025951491,1258.1368038349171,1250.2775135545912
148,117.30464367859143,114.90706712572698,1258.1363888809553,1250.2771117086968
149,117.30465142795879,114.90706401150435,1258.135973727557,1250.2767096708578
150,117.3046591680905,114.90706088770517,1258.1355586986017,1250.2763076704205
151,117.30466692117128,114.90705777780835,1258.1351435086538,1250.275905582113
152,117.30467468085605,114.90705467566364,1258.1347282560475,1250.2755033829335
153,117.30468243998946,114.90705157307004,1258.1343130134699,1250.2751011787025
154,117.30469017496833,114.90704844323369,1258.1338980351131,1250.2746992915033
155,117.30469793793242,114.90704534387659,1258.1334827215223,1250.2742971625792
156,117.30470567260095,114.90704221384094,1258.1330677505364,1250.2738952754232
157,117.30471343384428,114.90703911371192,1258.1326524885487,1250.2734930585352
158,117.30472116315715,114.90703597743556,1258.1322375708976,1250.2730912730008
159,117.30472889127456,114.90703284021733,1258.131822677681,1250.272689466333
160,117.30473664739682,114.90702973374957,1258.1314074563145,1250.2722873917608
161,117.30474441044639,114.90702663580758,1258.1309921795041,1250.2718851593802
162,117.30475214276012,114.90702350373431,1258.1305772529265,1250.2714832731756
163,117.30475988588302,114.90702038321588,1258.1301621902662,1250.271081319996
164,117.30476765239048,114.9070172888637,1258.1297468676655,1250.2706790930165
165,117.30477538130035,114.90701415231867,1258.129331960508,1250.270277334406
166,117.3047831343821,114.90701104412295,1258.128916820459,1250.2698751564956
167,117.304790872972,114.90700791877906,1258.128501816634,1250.269473255189
168,117.30479863831361,114.90700482283809,1258.128086499334,1250.2690710953887
169,117.30480638206622,114.90700170326417,1258.1276714375335,1250.2686691448507
170,117.3048141301397,114.9069985893876,1258.1272563519858,1250.2682670582544
171,117.30482187432527,114.90699547026236,1258.1268412847571,1250.2678651180297
