distance_between_leaks: 10 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
150,117.30470258520415,114.90704071860071,1258.1331568235678,1250.2738898431926
151,117.30471032570989,114.90703759488045,1258.1327417819023,1250.273487894329
152,117.30471806362745,114.90703446838751,1258.1323267723376,1250.273085969421
153,117.30472582373956,114.90703136654044,1258.1319115107308,1250.2726838046513
154,117.30473355327021,114.90702823079948,1258.1314965989923,1250.2722819774986
155,117.3047413199393,114.90702513638647,1258.1310812672916,1250.271879735924
156,117.30474905771024,114.90702200986146,1258.1306662641998,1250.2714778224217
157,117.30475681110643,114.9070189007728,1258.1302510853432,1250.2710757329278
158,117.30476453705056,114.90701576117938,1258.1298362187506,1250.2706739553446
159,117.30477229241895,114.90701265430216,1258.1294210185354,1250.2702718534908
160,117.30478006459826,114.90700956629942,1258.1290056329558,1250.269869549811
161,117.30478779708898,114.90700643408861,1258.1285906956468,1250.2694677055526
162,117.30479553886997,114.90700331227282,1258.1281756545109,1250.269065756116
163,117.30480330257485,114.90700021496703,1258.127760368833,1250.2686635526304
164,117.30481104011535,114.9069970885075,1258.1273453785816,1250.2682616550496
165,117.3048187892685,114.90699397506503,1258.126930258863,1250.2678596220867
166,117.3048265252395,114.90699084692616,1258.126515288836,1250.2674577469788
167,117.3048342716969,114.90698773056438,1258.1261002025358,1250.2670557478261
168,117.30484203449915,114.90698463241279,1258.1256849322904,1250.2666535673263
169,117.30484976559066,114.90698149904392,1258.1252700231062,1250.2662517441556
170,117.3048575334351,114.90697840661325,1258.1248546991612,1250.2658495068292
171,117.30486526858795,114.90697527779915,1258.1244397450748,1250.2654476457733
172,117.30487301654463,114.90697216329612,1258.124024648172,1250.2650456390975
173,117.30488076663805,114.90696905121075,1258.1236095286197,1250.2646436099349
174,117.30488851566912,114.90696593802726,1258.1231944231456,1250.2642415898963
175,117.3048962294265,114.90696278556295,1258.122779716309,1250.2638399778375
176,117.30490399350025,114.90695968920808,1258.1223644436836,1250.2634377899826
177,117.30491174819356,114.90695658240138,1258.1219492768837,1250.2630357155526
178,117.30491948298089,114.90695345352492,1258.1215343376894,1250.2626338637194
179,117.30492723339185,114.90695034204924,1258.1211192225478,1250.2622318393937
180,117.30493498247365,114.90694722911284,1258.1207041226792,1250.2618298340917
181,117.30494273477171,114.90694411987891,1258.1202889903338,1250.261427785322
182,117.30495046394829,114.90694098489331,1258.1198741191015,1250.2610260063884
183,117.30408035996022,114.90596087199113,1258.1293902364216,1250.270570729099
