,leak_coeff: 0.5,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
99,117.35407557700658,114.94395977975533,1257.0715750244456,1251.656136673839
100,117.35408069288577,114.94395737198802,1257.0712912401093,1251.6558635378417
101,117.3540858137019,114.94395496975433,1257.071007399429,1251.6555903464307
102,117.35409094761326,114.94395258212111,1257.0707234133938,1251.6553170084976
103,117.35409607900773,114.94395019172015,1257.0704394559687,1251.6550437001085
104,117.3541012019827,114.94394779198392,1257.0701555947646,1251.6547704878876
105,117.35410630023028,114.94394536475944,1257.0698720150538,1251.6544975567697
106,117.35411143981707,114.94394298357615,1257.0695879680402,1251.65422415874
107,117.35411655302926,114.94394057307571,1257.0693042201497,1251.653951060035
108,117.3541216955414,114.94393819522395,1257.0690201420352,1251.6536776300293
109,117.35412681294797,114.94393578945312,1257.0687363490676,1251.653404486439
110,117.35413194344575,114.94393339829304,1257.0684524093379,1251.6531311948927
111,117.35413705239966,114.94393098317552,1257.0681687145914,1251.6528581496755
112,117.35414216567219,114.94392857291241,1257.067884971592,1251.6525850551072
113,117.35414728792806,114.94392617268713,1257.0676011271376,1251.6523118592268
114,117.35415243367738,114.94392379862425,1257.0673170191485,1251.652038400215
115,117.35415754298553,114.94392138405395,1257.0670333237956,1251.6517653531394
116,117.3541626686044,114.94391898766341,1257.0667494452566,1251.6514921231108
117,117.35416779612657,114.94391659341346,1257.066465546086,1251.6512188736992
118,117.35417291200774,114.94391418625965,1257.0661817793657,1251.650945755217
119,117.35417805981601,114.94391181467117,1257.0658976525617,1251.6506722764339
120,117.35418317281558,114.9439094043658,1257.0656139206421,1251.65039919379
121,117.3541882983927,114.94390700809657,1257.0653300476235,1251.6501259693061
122,117.35419342148467,114.94390460909072,1257.0650462039075,1251.649852774414
123,117.35419853678785,114.94390220145671,1257.064762448546,1251.6495796680406
124,117.35420367221913,114.94389981626509,1257.0644784666297,1251.6493063340486
125,117.35420878251529,114.94389740311553,1257.064194770663,1251.6490332874105
126,117.35421390356802,114.94389500197592,1257.063910954082,1251.6487601195038
127,117.35421902287678,114.94389259892839,1257.0636271578,1251.6484869724204
128,117.35422415237414,114.94389020726103,1257.0633432473971,1251.6482137102582
